anime_id,name,genre,type,episodes,rating,members,name-ru,src,srcset
15417,gintama':enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,Гинтама 3,https://desu.shikimori.me/uploads/poster/animes/15417/preview_alt-067cace0e71b383d4da65fdeaa6c6f12.png,https://desu.shikimori.me/uploads/poster/animes/15417/preview_alt_2x-3080c896e699b25c73ffc23b6b677f06.png
4181,clannad:afterstory,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,Кланнад: Продолжение истории,https://desu.shikimori.me/uploads/poster/animes/4181/preview_alt-0cfac6b30ce41947ab4f455c5f027cd1.jpeg,https://desu.shikimori.me/uploads/poster/animes/4181/preview_alt_2x-4996847842298d51746494e9a094970e.jpeg
28851,koenokatachi,"Drama, School, Shounen",Movie,1,9.05,102733,Форма голоса,https://desu.shikimori.me/uploads/poster/animes/28851/preview_alt-d83a0a0ff4508a844e7a145d3f3866de.jpeg,https://desu.shikimori.me/uploads/poster/animes/28851/preview_alt_2x-aa57b4c3a30c9f6c530dfacfd8c00bbb.jpeg
918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,Гинтама 4,https://desu.shikimori.me/uploads/poster/animes/28977/preview_alt-2fff98c1ee26af4f31c76ae3d5b7a9d6.jpeg,https://desu.shikimori.me/uploads/poster/animes/28977/preview_alt_2x-40e249a5561ac2ac220387454e561a9d.jpeg
918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,Гинтама,https://desu.shikimori.me/uploads/poster/animes/918/preview_alt-b036d9f2e2c6967ccdf36044a1929f0b.png,https://desu.shikimori.me/uploads/poster/animes/918/preview_alt_2x-8a269d63962f08b4d3af8ec2c567b709.png
2904,codegeass:hangyakunolelouchr2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,Код Гиас: Восставший Лелуш 2,https://desu.shikimori.me/uploads/poster/animes/2904/preview_alt-df83ebd3c988ac49d7f90714368dd5c0.jpeg,https://desu.shikimori.me/uploads/poster/animes/2904/preview_alt_2x-37f126f2ed6c73dec8c63c1d34023269.jpeg
28891,haikyuu!!secondseason,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,Волейбол!! 2,https://desu.shikimori.me/uploads/poster/animes/28891/preview_alt-295ce19bb9dbfe9c357517e39a4ff086.png,https://desu.shikimori.me/uploads/poster/animes/28891/preview_alt_2x-0d6ce2db4e4cb1c2fa66a6e25fbf9144.png
199,sentochihironokamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,Унесённые призраками,https://desu.shikimori.me/uploads/poster/animes/199/preview_alt-38907523a3707ed46fc58e79fb950d91.jpeg,https://desu.shikimori.me/uploads/poster/animes/199/preview_alt_2x-0a429e2fa10a9e452b74e403ac2a9bc2.jpeg
23273,shigatsuwakiminouso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,Твоя апрельская ложь,https://desu.shikimori.me/uploads/poster/animes/23273/preview_alt-5d69575b3460cdb4f741b71ae6b93e03.jpeg,https://desu.shikimori.me/uploads/poster/animes/23273/preview_alt_2x-4cd58ef76ba5025da68ddfa94227bdc2.jpeg
24701,mushishizokushou2ndseason,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,Мастер муси: Следующая глава 2,https://desu.shikimori.me/uploads/poster/animes/24701/preview_alt-4bb85e6f88f440fb06c0766e7963aedd.jpeg,https://desu.shikimori.me/uploads/poster/animes/24701/preview_alt_2x-a5f4f9eb78f4424d58c1059a2b2dbe7d.jpeg
12355,ookamikodomonoametoyuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,Волчьи дети Амэ и Юки,https://desu.shikimori.me/uploads/poster/animes/12355/preview_alt-a114b75c9880f8f840c5d2931424656c.jpeg,https://desu.shikimori.me/uploads/poster/animes/12355/preview_alt_2x-78a80024a518278af185edb0bfb5b2a7.jpeg
1575,codegeass:hangyakunolelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,Код Гиас: Восставший Лелуш,https://desu.shikimori.me/uploads/poster/animes/1575/preview_alt-b1b8a5982fbabf18d60ed590930d273c.jpeg,https://desu.shikimori.me/uploads/poster/animes/1575/preview_alt_2x-9986f2bb133b73d9a293192d81f49b1a.jpeg
263,hajimenoippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,Первый шаг,https://desu.shikimori.me/uploads/poster/animes/263/preview_alt-d048016926514ffbc3c3944fe2b146d1.jpeg,https://desu.shikimori.me/uploads/poster/animes/263/preview_alt_2x-583c504169058f62ab8211eab29484e7.jpeg
44,rurounikenshin:meijikenkakuromantan-tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,Бродяга Кэнсин: Воспоминания,https://desu.shikimori.me/uploads/poster/animes/44/preview_alt-0be578790377f927b3ae2d1ca17557d2.jpeg,https://desu.shikimori.me/uploads/poster/animes/44/preview_alt_2x-8653d829dde1f4223ec86515ecef352c.jpeg
1,cowboybebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,Ковбой Бибоп,https://desu.shikimori.me/uploads/poster/animes/1/preview_alt-61137e3e0b8d3dfff62310613cc60175.png,https://desu.shikimori.me/uploads/poster/animes/1/preview_alt_2x-375b87fb20ae9424a1970c505cc684e4.png
30276,onepunchman,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,Ванпанчмен,https://desu.shikimori.me/uploads/poster/animes/30276/preview_alt-8d6c2b017fcddf373f126ff6ef871d4f.jpeg,https://desu.shikimori.me/uploads/poster/animes/30276/preview_alt_2x-e1ef0968d9e8bd63518254b584d042fd.jpeg
164,mononokehime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,Принцесса Мононоке,https://desu.shikimori.me/uploads/poster/animes/164/preview_alt-7351968c32720894298e271aac4f8047.jpeg,https://desu.shikimori.me/uploads/poster/animes/164/preview_alt_2x-1f9d464aa74551225a953213b2518670.jpeg
7311,suzumiyaharuhinoshoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,Исчезновение Харухи Судзумии,https://desu.shikimori.me/uploads/poster/animes/7311/preview_alt-4dc0dc542bda734305195546331cbb81.jpeg,https://desu.shikimori.me/uploads/poster/animes/7311/preview_alt_2x-b09fc6646b7fef0897a47ccc0bcbf67c.jpeg
17074,monogatariseries:secondseason,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,Цикл историй: Второй сезон,https://desu.shikimori.me/uploads/poster/animes/17074/preview_alt-546024fa19127d0f6f5bbeb0d2b4abff.png,https://desu.shikimori.me/uploads/poster/animes/17074/preview_alt_2x-d73d7a8b38735a9932ca89e62ce8a90b.png
21939,mushishizokushou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,Мастер муси: Следующая глава,https://desu.shikimori.me/uploads/poster/animes/21939/preview_alt-3d915701b815e80693af609c78d7c3ba.jpeg,https://desu.shikimori.me/uploads/poster/animes/21939/preview_alt_2x-aed7adbdd282356b6a9c6c3be66a2feb.jpeg
457,mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,Мастер муси,https://desu.shikimori.me/uploads/poster/animes/457/preview_alt-f45566db108521a55c5e5ca0dd08dabf.jpeg,https://desu.shikimori.me/uploads/poster/animes/457/preview_alt_2x-d9bb3e5d78beab4157cb448e96b4ec4b.jpeg
2001,tengentoppagurrenlagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,Гуррен-Лаганн~ пронзающий небеса,https://desu.shikimori.me/uploads/poster/animes/2001/preview_alt-522192e17dd50ab458ffb0d145b6bd0c.jpeg,https://desu.shikimori.me/uploads/poster/animes/2001/preview_alt_2x-73a5b73dfd19170c1c8997132eb2a59e.jpeg
245,greatteacheronizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,Крутой учитель Онидзука,https://desu.shikimori.me/uploads/poster/animes/245/preview_alt-59ff5baef3585c76ec8229d2f05891d8.jpeg,https://desu.shikimori.me/uploads/poster/animes/245/preview_alt_2x-9b5eb7db2889cf3279725779b775745e.jpeg
32983,natsumeyuujinchougo,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,Тетрадь дружбы Нацумэ 5,https://desu.shikimori.me/uploads/poster/animes/32983/preview_alt-b0d1778c1fa8fe892cca3bbd229d565e.png,https://desu.shikimori.me/uploads/poster/animes/32983/preview_alt_2x-5b7d0f078f04cc12005e4b104e09e747.png
5258,hajimenoippo:newchallenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,Первый шаг: Новый вызов,https://desu.shikimori.me/uploads/poster/animes/5258/preview_alt-ab467ed179a5a697576f64ff3ac04ca6.jpeg,https://desu.shikimori.me/uploads/poster/animes/5258/preview_alt_2x-862352e3775547ee440d02b43b30f075.jpeg
28957,mushishizokushou:suzunoshizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,Мастер муси: Следующая глава — Капли колокольчиков,https://desu.shikimori.me/uploads/poster/animes/28957/preview_alt-333846fd0a3d2fad85e36df43a67bbe1.jpeg,https://desu.shikimori.me/uploads/poster/animes/28957/preview_alt_2x-a60c172190b8984586d2c465425e9ed9.jpeg
11665,natsumeyuujinchoushi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,Тетрадь дружбы Нацумэ 4,https://desu.shikimori.me/uploads/poster/animes/11665/preview_alt-8ee4c68dd8adcc442d7e5dffd2566a3c.png,https://desu.shikimori.me/uploads/poster/animes/11665/preview_alt_2x-39f7367e9a9404230302976c39527ebd.png
431,howlnougokushiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,Ходячий замок,https://desu.shikimori.me/uploads/poster/animes/431/preview_alt-96d779b719074ca1a2b5a09483f7866d.jpeg,https://desu.shikimori.me/uploads/poster/animes/431/preview_alt_2x-e6b944f6f3bb496e9d234be9f0976e1a.jpeg
11741,fate/zero2ndseason,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,Судьба/Начало 2,https://desu.shikimori.me/uploads/poster/animes/11741/preview_alt-3c67594f1c590463bd71f0dd33b20b36.png,https://desu.shikimori.me/uploads/poster/animes/11741/preview_alt_2x-08d0e3f276b4cfbabf80d5eaa9c3e7da.png
31757,kizumonogatariii:nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,Истории ран. Часть 2: Горячая кровь,https://desu.shikimori.me/uploads/poster/animes/31757/preview_alt-08f1fe8758ab8301a85148791f673498.jpeg,https://desu.shikimori.me/uploads/poster/animes/31757/preview_alt_2x-0bc5f3abf00861420558585751852c68.jpeg
19,monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,Монстр,https://desu.shikimori.me/uploads/poster/animes/19/preview_alt-ba8820c361a8f412b823129240ca4b04.png,https://desu.shikimori.me/uploads/poster/animes/19/preview_alt_2x-1f5938f060719d76a35398550657e846.png
12365,bakuman.3rdseason,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,Бакуман 3,https://desu.shikimori.me/uploads/poster/animes/12365/preview_alt-bba279f62669d6ae910e48c5d6f5713b.png,https://desu.shikimori.me/uploads/poster/animes/12365/preview_alt_2x-e0db4f4a6d258f1ba2f18eb85fbe3d86.png
1535,deathnote,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,Тетрадь смерти,https://desu.shikimori.me/uploads/poster/animes/1535/preview_alt-9fd3efb50ed29524695d2e43b96434c6.jpeg,https://desu.shikimori.me/uploads/poster/animes/1535/preview_alt_2x-a8477b01be36aefd256f32b8c5d90829.jpeg
32366,gintama:aizomekaori-hen,"Comedy, Parody",OVA,2,8.69,16947,Гинтама 4: Любовные благовония,https://desu.shikimori.me/uploads/poster/animes/32366/preview_alt-684942decbb355932e0024ac3e0992eb.jpeg,https://desu.shikimori.me/uploads/poster/animes/32366/preview_alt_2x-7aed70227195894574cf3c8bb8703c64.jpeg
30654,ansatsukyoushitsu(tv)2ndseason,"Action, Comedy, School, Shounen",TV,25,8.68,176475,,,
20583,haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,Волейбол!!,https://desu.shikimori.me/uploads/poster/animes/20583/preview_alt-326031d8639b59cfdab13273d8f0a90d.jpeg,https://desu.shikimori.me/uploads/poster/animes/20583/preview_alt_2x-2d786fe5e7e095acaf81d9cb772b3054.jpeg
19647,hajimenoippo:rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,Первый шаг: Восхождение,https://desu.shikimori.me/uploads/poster/animes/19647/preview_alt-e494e5d3bf2fc9eccfdbac49a934cc95.jpeg,https://desu.shikimori.me/uploads/poster/animes/19647/preview_alt_2x-3dd9ab1df53795b14571f1b6f45a5cdf.jpeg
4282,karanokyoukai5:mujunrasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,,,
10379,natsumeyuujinchousan,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,Тетрадь дружбы Нацумэ 3,https://desu.shikimori.me/uploads/poster/animes/10379/preview_alt-2b920dcb6b9fd6a6a89350ae61b189e2.png,https://desu.shikimori.me/uploads/poster/animes/10379/preview_alt_2x-32717d9046452db1cb53cb2e5e680d21.png
22135,pingpongtheanimation,"Psychological, Seinen, Sports",TV,11,8.67,97187,Пинг-понг,https://desu.shikimori.me/uploads/poster/animes/22135/preview_alt-16fbdaf9286482390a4f4a18b07c9f2c.jpeg,https://desu.shikimori.me/uploads/poster/animes/22135/preview_alt_2x-0aa9a04a8822400f2429b17436790b71.jpeg
21329,mushishispecial:hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,,,
31043,bokudakegainaimachi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,Город~ в котором меня нет,https://desu.shikimori.me/uploads/poster/animes/31043/preview_alt-8cac4532d0c11805d04fbf5982ada908.jpeg,https://desu.shikimori.me/uploads/poster/animes/31043/preview_alt_2x-b4ec3975ff3603fd0ef321f2f45f130a.jpeg
7785,yojouhanshinwataikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,Сказ о четырёх с половиной татами,https://desu.shikimori.me/uploads/poster/animes/7785/preview_alt-54a353be21c08ea8d02fda16609823b0.jpeg,https://desu.shikimori.me/uploads/poster/animes/7785/preview_alt_2x-522fb3e3bcb4d5db03793edaa2ab70e0.jpeg
3297,ariatheorigination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,Ария: Происхождение,https://desu.shikimori.me/uploads/poster/animes/3297/preview_alt-674fc3e92f4875bc1da6a983cea57736.jpeg,https://desu.shikimori.me/uploads/poster/animes/3297/preview_alt_2x-000c34685e3c7c621f2100d725c3f26c.jpeg
30709,kamisamahajimemashita:kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,Очень приятно~ Бог 2 OVA,https://desu.shikimori.me/uploads/poster/animes/30709/preview_alt-6e6bb23c8744d886396ca213afd1ce66.jpeg,https://desu.shikimori.me/uploads/poster/animes/30709/preview_alt_2x-ac0489979d6bef06d059be2206f85b9e.jpeg
6114,rainbow:nisharokubounoshichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,Радуга: Семеро из шестой камеры второго блока,https://desu.shikimori.me/uploads/poster/animes/6114/preview_alt-9dc85a3680d032c058978e387adedfef.jpeg,https://desu.shikimori.me/uploads/poster/animes/6114/preview_alt_2x-03b0437af3867ab5500972814b3246e5.jpeg
31240,re:zerokarahajimeruisekaiseikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,Re:Zero. Жизнь с нуля в альтернативном мире,https://desu.shikimori.me/uploads/poster/animes/31240/preview_alt-a364a75ff0e4abe779a9adb8d007ebac.jpeg,https://desu.shikimori.me/uploads/poster/animes/31240/preview_alt_2x-0f042e208cc0172751f0d70cbaa81335.jpeg
4565,tengentoppagurrenlagannmovie:lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,,,
5300,zokunatsumeyuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,Тетрадь дружбы Нацумэ 2,https://desu.shikimori.me/uploads/poster/animes/5300/preview_alt-63403099ac7766c7b0507760e3770caf.png,https://desu.shikimori.me/uploads/poster/animes/5300/preview_alt_2x-1dbd1975630f312cb6813d0a746f7371.png
9989,anohimitahananonamaewobokutachiwamadashiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,Невиданный цветок,https://desu.shikimori.me/uploads/poster/animes/9989/preview_alt-97c56c1d710cc422be445cd1bd10bfc2.jpeg,https://desu.shikimori.me/uploads/poster/animes/9989/preview_alt_2x-aee4a033f1533666ab83315155be45bf.jpeg
24415,kurokonobasket3rdseason,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,Баскетбол Куроко 3,https://desu.shikimori.me/uploads/poster/animes/24415/preview_alt-6bbae1914f376b4f63ba159681d1e2a2.jpeg,https://desu.shikimori.me/uploads/poster/animes/24415/preview_alt_2x-1666b4999f0391ffc36d3d1a15d53ad3.jpeg
11577,steins;gatemovie:fukaryouikinodjvu,"Sci-Fi, Thriller",Movie,1,8.61,192424,,,
10408,hotarubinomorie,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,В лес~ где мерцают светлячки,https://desu.shikimori.me/uploads/poster/animes/10408/preview_alt-73c65304594776ae9fe6c1c496a352da.jpeg,https://desu.shikimori.me/uploads/poster/animes/10408/preview_alt_2x-320242cd0c2531e7a10a85241ddba113.jpeg
28171,shokugekinosouma,"Ecchi, School, Shounen",TV,24,8.61,348951,Семёрка идолов 2,https://desu.shikimori.me/uploads/poster/animes/37962/preview_alt-cea0ab30db98a28c9ccc86390949b659.jpeg,https://desu.shikimori.me/uploads/poster/animes/37962/preview_alt_2x-2056b4657142575a0fec2292fe3127f9.jpeg
32995,yuri!!!onice,"Comedy, Sports",TV,12,8.61,103178,,,
21899,gintama:yorinukigintama-sanontheater2d,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,Гинтама: Лучшее из «Гинтамы» на Theater 2D,https://desu.shikimori.me/uploads/poster/animes/21899/preview_alt-27c91126036338bdbd1766c81040b670.jpeg,https://desu.shikimori.me/uploads/poster/animes/21899/preview_alt_2x-14b707a4fdf77c770f54a4c549f60d23.jpeg
26055,jojonokimyounabouken:stardustcrusaders2ndseason,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,,,
7472,gintamamovie:shinyakubenizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,,,
777,hellsingultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,Хеллсинг OVA,https://desu.shikimori.me/uploads/poster/animes/777/preview_alt-eb2bb8cba93240aa67a57ac676c8183a.jpeg,https://desu.shikimori.me/uploads/poster/animes/777/preview_alt_2x-e8ab2c235d447d9041406db9527cf899.jpeg
22535,kiseijuu:seinokakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,Паразит: Учение о жизни,https://desu.shikimori.me/uploads/poster/animes/22535/preview_alt-1a556fbaaee0fb09bc878144b6a4fbd0.png,https://desu.shikimori.me/uploads/poster/animes/22535/preview_alt_2x-aec418ed53b4aa3d45d2193c09155645.png
28735,shouwagenrokurakugoshinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,Сёва-Гэнроку: Двойное самоубийство по ракуго,https://desu.shikimori.me/uploads/poster/animes/28735/preview_alt-4d06b8c0f10535ea765498f873d303e5.jpeg,https://desu.shikimori.me/uploads/poster/animes/28735/preview_alt_2x-aabfeedd97f95bbb06c896b3cb1c8795.jpeg
12431,uchuukyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,Космические братья,https://desu.shikimori.me/uploads/poster/animes/12431/preview_alt-ded2886b1540304eff280edeef8d42f3.jpeg,https://desu.shikimori.me/uploads/poster/animes/12431/preview_alt_2x-342eb477facc4d6215fce8b42b6a57c3.jpeg
28805,bakemononoko,"Adventure, Supernatural",Movie,1,8.58,80825,Ученик чудовища,https://desu.shikimori.me/uploads/poster/animes/28805/preview_alt-b8a7c19c4f7a7d76215c17a5cc4874b7.jpeg,https://desu.shikimori.me/uploads/poster/animes/28805/preview_alt_2x-4ee131343f2bc135e7a28267121836b7.jpeg
578,hotarunohaka,"Drama, Historical",Movie,1,8.58,174878,Могила светлячков,https://desu.shikimori.me/uploads/poster/animes/578/preview_alt-ce2d3f40fbe61a203dcc074782fa9c97.jpeg,https://desu.shikimori.me/uploads/poster/animes/578/preview_alt_2x-00748ec9300601fae8ec5332a4f84037.jpeg
16894,kurokonobasket2ndseason,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,Баскетбол Куроко 2,https://desu.shikimori.me/uploads/poster/animes/16894/preview_alt-0c14b6c65a2851602a22eea1533c757d.jpeg,https://desu.shikimori.me/uploads/poster/animes/16894/preview_alt_2x-673e7f067ab052992eef1b7c16f7eea4.jpeg
5028,majors5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,Мэйджор 5,https://desu.shikimori.me/uploads/poster/animes/5028/preview_alt-27cb213daa5f93e79247c9dae3bd2c53.png,https://desu.shikimori.me/uploads/poster/animes/5028/preview_alt_2x-7ac0de8e066eab033da7c0b01c0d50d7.png
21,onepiece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,Ван-Пис,https://desu.shikimori.me/uploads/poster/animes/21/preview_alt-082238efb552069b509eb819e1883732.jpeg,https://desu.shikimori.me/uploads/poster/animes/21/preview_alt_2x-82ac063729a5f4561e7e0acd8fb14812.jpeg
801,ghostintheshell:standalonecomplex2ndgig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,,,
31933,jojonokimyounabouken:diamondwakudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,,,
5205,karanokyoukai7:satsujinkousatsu(kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,,,
17389,kingdom2ndseason,"Action, Historical, Military, Seinen",TV,39,8.57,31234,Царство 2,https://desu.shikimori.me/uploads/poster/animes/17389/preview_alt-91319d393d99be3c28a1d8a2009f630b.jpeg,https://desu.shikimori.me/uploads/poster/animes/17389/preview_alt_2x-21f3bbb032bab4bdf2a4f83686c80914.jpeg
170,slamdunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,Слэм-данк,https://desu.shikimori.me/uploads/poster/animes/170/preview_alt-52f1fcacea176abf55f53504fb9684f0.jpeg,https://desu.shikimori.me/uploads/poster/animes/170/preview_alt_2x-fa24b7fd900455b0ebca7e523b1ac5d0.jpeg
10162,usagidrop,"Josei, Slice of Life",TV,11,8.56,194855,Брошенный кролик,https://desu.shikimori.me/uploads/poster/animes/10162/preview_alt-21da2b38d970617f9135a788961d76e9.jpeg,https://desu.shikimori.me/uploads/poster/animes/10162/preview_alt_2x-cb8d0aee3cc01ab6a898636025b441f7.jpeg
18617,girlsundpanzerderfilm,"Military, School",Movie,1,8.55,25641,,,
32182,mobpsycho100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,Моб Психо 100,https://desu.shikimori.me/uploads/poster/animes/32182/preview_alt-c71fa41b6616ca9ec91ea8321819493c.png,https://desu.shikimori.me/uploads/poster/animes/32182/preview_alt_2x-d86a1f1118393722413277f40c8c07b1.png
877,nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,Нана,https://desu.shikimori.me/uploads/poster/animes/877/preview_alt-282dc4719e17d8ff1e5a259d13c70e09.jpeg,https://desu.shikimori.me/uploads/poster/animes/877/preview_alt_2x-bbf61cbc2019aa784f9affb71e609c26.jpeg
2251,baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,Шумиха!,https://desu.shikimori.me/uploads/poster/animes/2251/preview_alt-b7e1646d84890000634799ae6427cc46.png,https://desu.shikimori.me/uploads/poster/animes/2251/preview_alt_2x-84b929b87e4a7cfe139adaafdecf8c97.png
